W_GH	W_CVARS	W_Field	Length	Width	Density
18.81	17.01	20.5	6.87	5.03	1.87
17.19	11.35	14.8	6.86	3.55	2.51
20.17	17.59	21.74	8.86	4.41	1.95
15.84	12.47	18.38	6.91	3.82	2.36
22.11	20.39	26.14	7.5	5.59	1.66
13.37	11.42	14.46	6.19	4.19	2.01
16.91	18.75	22.15	6.65	5.11	2.06
11.2	11.41	18.26	7.4	4.24	1.64
12.99	12.18	14.03	6.29	4.1	2.2
10.88	8.38	11.83	5.01	3.74	2.28
18.52	15.63	18.06	6.84	4.55	2.11
17.14	18.34	16.09	8.24	5.57	1.37
16.12	16.26	17.04	6.63	5.08	1.82
17.85	20.18	24.36	7.82	5.1	1.89
10.27	11.1	12.12	5.88	3.71	2.62
9.61	9.14	10.86	4.95	3.53	2.83
19.72	18.05	16.05	7.27	5.36	1.65
12.64	10.3	NaN	6.14	3.42	2.74
19.62	19.68	NaN	7.55	5.97	1.4
10.89	11.82	11.9	6.31	3.81	2.46
8.78	7.8	9.76	3.99	3.65	2.8
10.86	8.94	NaN	5.51	3.34	2.78
11.12	9.12	NaN	4.44	3.83	2.67
22.39	18.72	25.66	6.39	5.19	2.08
17.02	17.87	24.09	7.76	4.87	1.85
17.65	15.47	18.27	8.6	3.86	2.31
10.74	11.93	14.33	7.6	3.26	2.82
19.81	15.42	NaN	6.84	4.66	1.98
15.37	11.85	NaN	6.55	4.38	1.8
16.44	14.7	NaN	7.07	4.7	1.8
9.43	9.7	12.89	5.62	3.27	3.08
9.85	9.99	13.29	5.2	4.07	2.22
17.08	16.79	NaN	7.8	4.81	1.78
11.8	12.42	15.83	5.67	4.16	2.42
13.83	14.9	NaN	6.17	4.71	2.08
12.87	9.47	19.08	5.62	4	2.01
9.66	7.99	NaN	5.31	3.32	2.61
14.43	13.27	20.67	5.94	4.25	2.36
11.06	13.52	NaN	5.93	4.56	2.09
7.01	7.2	7.24	4.52	2.87	3.69
23.1	23.24	NaN	8.57	5.68	1.61
19.16	18.01	22.31	8.1	5.58	1.36
13.97	15.95	21.18	6.57	4.97	1.88
21.11	24.39	26.54	8.28	6	1.56
17	17.64	27.41	8.07	5.01	1.66
19.88	18.21	23.14	7.18	5	1.94
13.17	14.09	19.38	6.87	4.97	1.59
9.75	9.84	NaN	4.77	3.7	2.88
8.55	8.53	NaN	4.83	3.09	3.53
11.97	12.34	NaN	6.35	4.04	2.27
8.4	8.7	11.41	4.35	3.41	3.28
10.03	10.21	14.12	5.04	4	2.42
16.52	16.46	22.65	7.05	5.21	1.64
6.06	6.51	6.62	4.79	2.4	4.51
12.48	12.01	15.97	7.66	4.4	1.55
14.19	12.24	15.55	7.94	3.62	2.25
17.03	15.73	18.48	6.86	4.72	1.97
8.85	8.17	11.35	6.83	2.74	3.04
13.84	15.72	16.98	7.19	4.4	2.16
10.81	12.01	NaN	5.84	4.29	2.13
11.71	11.25	15.99	5.9	4.25	2.02
10.54	11.95	13.79	5.44	4.31	2.26
13.95	9.06	NaN	5.45	3.13	3.24
11.87	12.79	16.87	5.95	4.79	1.79
16.16	16.58	20.79	6.87	4.66	2.12
12.72	16.95	23.15	7.25	4.67	2.05
5.41	4.69	6.76	3.1	1.89	8.09
17.29	19.69	25.04	7.97	5.85	1.38
22.72	23.7	NaN	8.36	6.85	1.15
16.92	20.85	19.5	8.44	5.49	1.57
13.31	12.71	17.28	5.97	4.11	2.41
14.24	14.51	17.31	7.02	5.24	1.44
6.06	5.97	8.11	4.03	2.37	5.04
10.37	9.86	NaN	6.1	3.24	2.94
15.99	17.74	NaN	6.16	5.21	2.03
12.2	16.19	19.9	7.69	4.51	1.98
7.69	6.37	NaN	4.91	1.99	6.26
15.35	15.44	20.42	6.3	4.63	2.18
12.54	12.32	15.5	6.36	3.8	2.56
7.18	7.04	9.3	4.71	2.67	4
31	31.04	32.82	8.69	6.04	1.87
11.78	10.78	13.72	6.68	3.34	2.76
14.14	14.85	13.81	6.23	4.96	1.85
12.11	10.47	NaN	5.44	3.5	3
16.99	16.4	20.07	6.13	4.97	2.07
14.15	10.96	14.54	5.69	4.11	2.18
6.92	6.28	NaN	4.23	2.53	4.43
11.61	10.73	16.68	5.45	3.92	2.45
13.89	16.44	17.72	7.22	4.38	2.27
7.44	5.86	8.91	4	2.24	5.58
13.88	11.28	18.2	6.49	3.58	2.59
9.22	9.9	13.67	5.37	3.32	3.19
10.13	9.65	12.03	4.65	3.08	4.18
7.51	9.54	NaN	5.08	3.32	3.25
18.8	21.44	NaN	9.89	4.87	1.75
6.62	6.67	9.24	4.06	2.6	4.64
7.95	7.19	NaN	4.2	2.92	3.83
10.7	11.33	NaN	5.61	3.92	2.51
12.96	13.79	13.76	7.25	4.16	2.1
6.11	7.63	8.48	4.44	2.89	3.93
24.02	23.07	NaN	8.51	5.81	1.53
28.43	29.88	NaN	9.51	6.2	1.56
7.62	8.03	11.19	5	3.21	2.98
14.84	17.65	NaN	7.05	5.73	1.46
12.04	13.48	NaN	5.46	4.56	2.27
11.52	10.21	13.8	6.56	3.71	2.16
15.33	16.7	NaN	7.24	4.48	2.19
9.9	12.05	NaN	6.17	3.75	2.65
11.29	13.65	NaN	5.41	4.3	2.61
8.52	8.07	11.74	4.95	3.59	2.42
6.36	6.74	NaN	4.55	2.3	5.35
15.25	20.39	21.17	7.42	5.42	1.79
12.51	18.7	NaN	7.62	5.39	1.61
13.75	13.7	16.96	5.97	4.17	2.52
12.45	12.1	17.26	4.64	4.7	2.25
10.4	11.31	15.43	5.08	4.33	2.27
11.95	11.86	14.71	4.72	4.26	2.64
22.21	18.11	NaN	6.96	5.21	1.83
13.67	11.21	NaN	5.59	3.7	2.8
12.37	11.94	13.49	6.05	3.77	2.65
15.46	15.88	NaN	6.79	4.55	2.16
13.67	11.83	19.55	6.6	3.82	2.35
15.61	15.1	21.55	7.03	4.7	1.86
7.83	9.16	10.86	9.53	3.18	1.82
7.73	12.49	17.47	5.75	4.67	1.9
12.8	12.98	17.5	6.8	3.9	2.4
10.92	9.37	15.71	5.26	3.82	2.33
12.53	12.53	17.32	7.98	3.94	1.93
14.01	14.96	18.57	9.53	4.18	1.72
5.5	4.68	6.12	2.93	2.32	5.67
14.69	17.82	NaN	9.98	4.64	1.58
17.79	22.88	NaN	11.32	5.05	1.51
13.55	12.15	NaN	8	3.65	2.18
13.95	13.06	17.04	6	4.39	2.16
23.2	NaN	NaN	NaN	NaN	NaN
12.67	17.53	15.67	8.06	4.74	1.85
22.9	20.68	NaN	8.34	6.19	1.24
13.79	16.92	NaN	7.31	5	1.77
14.49	14.46	NaN	7.53	4.58	1.75
11.42	13.54	NaN	7.46	4.29	1.88
11.72	12.13	NaN	6.71	4.31	1.86
12.38	10.67	NaN	5.19	4	2.45
11.51	10.58	19.17	5.47	4.13	2.17
13.14	12.69	13.03	5.68	4.94	1.75
